Food_Name;Food_Text;Energy_kcal;Protein_g;Fat_g;Sugar_g;Sodium_mg;Carbohydrate_g;Label_Kesehatan
Starbucks java chip frappuccino;High carb;350;7;5;0;0;68;Sehat
Bungkil kacang tanah;High protein;336;37,4;13;0;0;30,5;Sehat
Daun kol sawi;Moderate nutrients;22;2,1;0,5;0;19;3,6;Sehat
Biskuit choco mania;High sugar, high fat;100;1;4,5;7;0;14;Kurang Sehat
Bou ninahu ndamate;High sodium;79;6,3;1;0;67;1,1;Cukup Sehat
Putri selat;High fat;163;2,2;6,5;0;6;13,8;Cukup Sehat
Yogurt greek yummy blueberry;High protein, high sugar;140;8;3,5;10;65;19;Cukup Sehat
Ikan Beunteur;High protein;109;17;4;0;109;0;Cukup Sehat
Teh hitam daun kering;High protein, high carb, high fiber;293;24,5;2,8;0;50;58,8;Cukup Sehat
ABC kopi susu;High carb;130;1;2,5;0;15;27;Sehat
Es krim Aice coklat sundae;Moderate nutrients;100;2;4;8;15;14;Sehat
Bayam merah;Moderate nutrients;41;2,2;0,8;0;20;6,3;Sehat
Kacang ercis;High fiber;129;12,4;0,7;0;4;18,3;Sehat
Asinan bogor;High sodium;98;3,9;2,6;0;483;14,8;Cukup Sehat
Susu WRP loses weight coklat;High protein, high sugar;220;14;6;20;0;27;Kurang Sehat
Kalio kikil;High sodium;122;13,8;5,7;0;519;3,9;Kurang Sehat
ABC Kecap Asin;High sodium;5;1;0;0;830;1;Kurang Sehat
Buah naga putih;Moderate nutrients;56;0,8;1;0;7;10,9;Sehat
Jagung pipil var. metro;High calorie, high carb;368;5,5;4,6;0;1;78;Sehat
Kacang bogor segar;Moderate nutrients;165;7,7;3,1;0;6;27,4;Sehat
Itik alabio dendeng;High sodium, high fat, high protein;496;30,3;33,5;0;1081;18,4;Kurang Sehat
Chatime pearl milk tea;High calorie, high sugar, high carb;374;1;11;39,5;0;67;Kurang Sehat
Aqua;No nutrients;0;0;0;0;0;0;Sehat
Bingka;High carb;273;5,3;10,6;0;0;39,1;Sehat
Enting-enting wijen;High calorie, high fat, high protein;565;18,2;38,4;0;0;36,8;Kurang Sehat
Kool merah, kool putih;Moderate nutrients;29;1,4;0,2;0;28;5,3;Sehat
Oyek;High carb;351;0,9;0,9;0;5;84,9;Sehat
Rujak aceh;High fiber;82;0,4;0,3;0;0;19,7;Sehat
Keripik kemplang goreng;High calorie, high fat, high carb;504;5,6;28,1;0;0;57,1;Kurang Sehat
Bungkil kelapa;High protein;368;23;15;0;0;40;Sehat
Bamboe soto ayam;High sodium;10;1;1;1;850;2;Kurang Sehat
Belitung;High carb;145;1,2;0,4;0;6;34,2;Sehat
Geplak Jahe;High calorie, high carb;462;3,1;14,4;0;0;57,7;Kurang Sehat
Kacang mekah;Moderate nutrients;22;1,1;1;0;2;3,4;Sehat
Dodol kedongdong;High calorie, high carb;331;1,9;7,6;0;0;63,8;Kurang Sehat
Kepala susu;High fat;204;2,6;20;0;0;4;Kurang Sehat
Ubi Cilembu;High carb, high fiber;186;1,9;0,2;0;1;44,3;Sehat
Bungkil biji karet;High protein;333;29,3;3,3;0;0;50;Sehat
Monde Boromon Wafers rasa Vanila;High sodium, high fat;60;1;7;7;60;16;Cukup Sehat
Good Day Cappuccino With Cocoa Granule;High sugar, high carb;110;1;2,5;17;10;21;Kurang Sehat
Starbucks hot caramel macchiato;High carb;280;10;11;0;0;35;Cukup Sehat
Soto padang;Moderate nutrients;127;5,9;6,6;0;0;11;Sehat
Soto kudus;Moderate nutrients;38;3,6;2,3;0;0;1,8;Sehat
Tahubaxo rebus;High sodium;109;11;0;0;504;16;Kurang Sehat
Meises coklat;High sugar, high carb;120;0;4;16;0;20;Kurang Sehat
Jeruk Kalamansi;Moderate nutrients;39;0,3;0,3;0;3;8,9;Sehat
Batar daan;High sodium, high carb;107;2,2;2,2;0;200;19,6;Cukup Sehat
Nasi Goreng;High calorie, high fat, high carb;500;7;34,4;0;18;40,2;Kurang Sehat
Baruasa;High calorie, high carb;417;6,5;8,2;0;0;79,3;Kurang Sehat
Omelet Mie Telur;High sodium;500,7;14,3;24,3;0;1132;54,5;Kurang Sehat
Daun jawaw seluang;Moderate nutrients;93;5;1,3;0;2;15,3;Sehat
Saladstop Sunshine jakarta;High protein, high sodium, high carb;556,6;45,2;26,6;18,1;988,8;50,7;Kurang Sehat
Sarimi isi tongseng ayam;High calorie, high fat, high carb;560;11;23;5;0;76;Kurang Sehat
Ikan Mujahir;High protein;89;18,7;1;0;51;0;Sehat
Talas pontianak;High carb;163;2,3;0,5;0;14;36,4;Sehat
Susu Rasa Taro;High sugar, high carb;130;5;4;14;60;18;Kurang Sehat
Masako Daging Sapi;High sodium;0;0;0;0;590;0;Kurang Sehat
Koya mirasa;High carb;370;8;1;0;0;82,2;Sehat
Sasa tepung bakso goreng;High sodium, high carb;90;1;0;0;910;21;Kurang Sehat
Mizone;High sugar, high carb;45;0;0;11;0;11;Kurang Sehat
Fillet o-fish;High sodium, high fat;270;12,3;15,9;0;439;19,3;Kurang Sehat
Beras giling var rojolele;High calorie, high carb;357;8,4;1,7;0;34;77,1;Sehat
Beras menir;High calorie, high fat, high carb;362;7,7;4,4;0;90;73;Sehat
Monde Snack Gold;High carb, high sodium;20;2;2,5;3;35;16;Sehat
Mony Oats Dark Choco Flavour;High fat, high carb;50;0;20;4;15;7;Kurang Sehat
Kacang babi;High protein, high carb;341;30,4;3,2;0;13;51,3;Sehat
Subway black forest ham sandwich;High protein, high carb;290;18;4,5;8;0;46;Sehat
Tempe lamtoro var. gung;High fiber;146;11,7;2,3;0;0;19,6;Sehat
Kalio ayam;High sodium, high fat;203;16;13,5;0;534;4,4;Kurang Sehat
Silky Pudding Taro Flavour;High sugar, high carb;15;2;1,5;11;45;16;Kurang Sehat
Talas bogor;High carb;108;1,4;0,4;0;10;25;Sehat
Niu Zuzu rasa coklat;High sugar, high carb;120;2;3;18;110;22;Kurang Sehat
Jeruk bali;Moderate nutrients;48;0,6;0,2;0;21;12,4;Sehat
Delfi ChaCha Peanut;High fat;160;3;8;0;10;17;Cukup Sehat
Kacang endel;High protein, high carb, high fiber;331;25;1;0;12;58;Sehat
Bihun goreng instan;High sodium, high carb;381;6,1;3,9;0;928;80,3;Kurang Sehat
Mie ayam;High sodium;102;6,2;3,9;0;279;10,5;Cukup Sehat
Koro benguk;High protein, high carb;332;24;3;0;42;55;Sehat
Nongshim Shin cup;High carb;309;10,9;6;1,9;0;46,8;Cukup Sehat
Teh botol tawar;No nutrients;0;0;0;0;0;0;Sehat
Biji nangka;High carb, high fiber;262;2,3;5,4;0;10;51,1;Sehat
Emping;High carb;345;12;1,5;0;0;71,5;Sehat
Soto bandung;Moderate nutrients;42;3,9;1,7;0;0;2,8;Sehat
Origo coffe avocado coffe;High sugar;160;4,04;6,02;14,12;0;22,46;Kurang Sehat
Subway sweet onion chicken teriyaki sandwich;High protein, high carb, high sugar;370;25;4,5;16;0;58;Kurang Sehat
Komak polong;High fiber;99;3,3;0,1;0;15;21,2;Sehat
Hazelnut;High calorie, high fat;628;14,95;60,75;0;0;16,7;Kurang Sehat
Sariroti roti tawar kupas;Moderate nutrients;110;3;2;1;170;19;Sehat
Andewi;High fiber;226;1,6;0,2;0;29;5,3;Sehat
Mie bakso;High sodium;114;5,3;3;0;760;16,4;Kurang Sehat
Kin bulgarian yogurt orange;High sugar, high carb;150;3;2,5;27;0;28;Kurang Sehat
Tapai singkong;High carb;169;1,4;0,3;0;0;40,2;Sehat
Buncis;Moderate nutrients;34;2,4;0,3;0;8;7,2;Sehat
Biskuit serena egg rolls chocolate;High sugar, high fat;80;1;4,5;4;0;8;Cukup Sehat
Ikan Mujahir goreng;High protein, high fat;416;46,9;23,9;0;54;0;Cukup Sehat
Kue ku temu;High carb;214;3,5;0,2;0;0;49,6;Sehat
Coklat Ferrero rocher;High sugar, high fat, high carb;238;3;16;15;0;18;Kurang Sehat
Outback steackhouse outback special;High protein;280;51;9;0;0;0;Sehat
The coffe bean & tea leaf mocha ice blended drink;High carb;350;11;7;55;0;67;Kurang Sehat
Indomie goreng;High calorie, high fat, high carb;380;8;14;8;0;54;Kurang Sehat
Nestle nestum;High carb, high sugar;130;3;1,5;9;0;27;Kurang Sehat
Jagung nasi;High calorie, high carb, high fiber;357;8,8;0,5;0;2;79,5;Sehat
Indofood cap enak;High sugar, high carb;120;1;4;19;0;21;Kurang Sehat
Pastel;High carb, high fat;307;4,5;13,3;0;0;42,4;Kurang Sehat
Momogi Bintang Coklat;Moderate nutrients;50;1;3;0;20;6;Sehat
King's Fisher sarden goreng balado;High protein, high fat;120;8;8;0;0;4;Cukup Sehat
Kewpie Caesar;High sodium, high fat;70;1;6;0;190;3;Kurang Sehat
Getuk singkong;High carb;204;0,5;1,4;0;0;47,4;Sehat
Kenari banda;High calorie, high fat;616;13,9;56,2;0;11;13,7;Kurang Sehat
Anak sapi daging gemuk;Moderate nutrients;184;18,8;14;0;118;0;Cukup Sehat
Indomie ayam geprek;High calorie, high fat, high carb;410;9;20;6;0;49;Kurang Sehat
Oncom kacang tanah pepes;High protein;132;11,7;3,8;0;0;13,7;Sehat
PT. Ultrajaya Milk Industry, Tbk;Moderate nutrients;120;6;6;0;40;9;Sehat
Putri hijau;High carb;189;5,4;2,1;0;0;37,2;Sehat
Nestle Milo 3in1 Activ-Go;High carb, high sugar;140;4;3;0;80;25;Cukup Sehat
Tiwul Instan;High calorie, high carb, high sodium;395;3,2;8,5;0;377;76,5;Kurang Sehat
Hofa;High carb, high fiber;127;1,2;0,5;0;3;29,5;Sehat
Lanting getuk;High calorie, high carb;422;0,9;10,8;0;0;80,4;Kurang Sehat
Telur ayam ras;High protein, high fat;154;12,4;10,8;0;142;0,7;Cukup Sehat
Daun Kenikir;High fiber;45;3,7;0,5;0;6;6,6;Sehat
Oncom;High protein;187;13;6;0;0;22,6;Sehat
Gadung;High carb;100;0,9;0,3;0;8;23,5;Sehat
Nasi minyak;High carb, high fat;207;3,5;5;0;74;37,1;Cukup Sehat
Starbucks green tea frappuccino;High carb;320;5;4,5;0;0;64;Sehat
Kue Kelepon;High carb;215;3,7;3,7;0;0;41,8;Sehat
ABC Selera pedas hot gulai chicken;Moderate nutrients;270;7;12;1;0;34;Cukup Sehat
Royco sup krim jagung;High sodium, high sugar;70;1;2;4;380;11;Kurang Sehat
BANGO Kecap Manis Light;High sugar, high sodium;40;0;0;8;140;10;Kurang Sehat
Happy Tos Tortilla Chips;High sodium, high fat;60;2;7;1;125;16;Cukup Sehat
Super bubur rasa ayam;High sodium, high carb;170;3;3;0;840;32;Kurang Sehat
Yoshinoya Veggie beef bowl;High calorie, high carb, high protein;960;35;29;8;0;141;Kurang Sehat
Intip goreng;High calorie, high fat, high carb;474;7,6;21,6;0;0;62,3;Kurang Sehat
Daun pohpohan;Moderate nutrients;37;2,5;0,8;0;0;6,9;Sehat
Suki Rasa Ayam Kecap;High sodium;100;2;4;1;240;13;Cukup Sehat
Soto betawi;High fat;135;2,5;8,8;0;0;11,5;Cukup Sehat
Selada air;High protein;17;3,1;0,2;0;65;2,2;Sehat
Mie Sedaap baso spesial;High carb;340;9;13;2;0;47;Cukup Sehat
Naraya melon seed;High sodium, high fat;130;6;10;0;180;2;Cukup Sehat
Pepare ular;High sodium;19;0,6;0,1;0;130;3,9;Cukup Sehat
Kaburan;High carb;133;1;0,2;0;10;32,2;Sehat
You C1000 vitamin lemon;High sugar;700;0;0;16;0;16;Kurang Sehat
Kopi Good day the original;High sugar, high carb;90;1;2,5;13;0;16;Kurang Sehat
Naraya Coklat Cookies;Moderate nutrients;50;1;3;0;45;6;Sehat
Susu On gold standard whey;High protein;120;20;1,8;1,6;0;3;Sehat
Sariroti roti tawar gandum;High sodium, high carb;190;6;3,5;2;290;32;Cukup Sehat
King's Fisher sarden sambal bangkok;High protein;70;8;2;0;0;6;Sehat
Ultra Sari Asem Asli;High carb;130;0;0;0;0;32;Sehat
Sagu aren segar;High carb;231;0,6;0,2;0;7;56,6;Sehat
Kelapa tua;High calorie, high fat;359;3,4;34,7;0;3;14;Kurang Sehat
Koyabu;High carb;241;3,4;4,3;0;0;47,2;Sehat
Buah kelor;Moderate nutrients;38;1,5;0,2;0;48;7,5;Sehat
Mie Sedaap Cup Mi Kuah Bakso;High sodium, high carb;350;8;15;0;1070;45;Kurang Sehat
Martabak mesir;High sodium, high carb;278;5,1;8,6;0;193;45;Cukup Sehat
Encung asam;High fiber;122;3,5;4,5;0;0;17,5;Sehat
Croissant;High fat, high carb;180;3;9;0;0;21;Cukup Sehat
Hokben Tori Ball;High fat;250;7;14;0;0;15;Cukup Sehat
Ikan Sunu;High protein;111;13,3;3,4;0;91;6,7;Sehat
Sapi dideh/darah;High protein, high sodium;98;21,9;1,1;0;150;0;Cukup Sehat
Beras ganyong;High carb;364;3,4;0,7;0;4;86,3;Sehat
MR.P Cashewnuts;High fat;250;7;19;0;0;11;Kurang Sehat
Dodol bali;High carb;298;3,7;2,1;0;0;65,9;Sehat
Susu kambing;Moderate nutrients;64;4,3;2,3;0;35;6,6;Sehat
Origo coffe strawberry kopi susu;High sugar;108;2,43;4,34;10,25;0;12,55;Kurang Sehat
Permen KIS mini assorted;High sugar, high carb;30;0;0;5;0;7;Kurang Sehat
Telur ayam ras bagian putih;High protein, high sodium;50;10,8;0;0;164;0,8;Cukup Sehat
Pisang ayam;High carb, high fiber;120;1,1;0,2;0;6;26,8;Sehat
Pempek adaan;High sodium, high carb;162;4,9;3;0;488;27,8;Kurang Sehat
Keju kacang tanah;High calorie, high fat, high protein;590;27;49;0;355;20,9;Kurang Sehat
Ubi jalar manis;Moderate nutrients;83;1,5;0,2;0;52;18,8;Sehat
Donat Krispy kreme mini original glazed;Moderate nutrients;83,3;1;4,3;4,7;0;10;Sehat
Sarimi Gelas Rasa Baso Sapi;High sodium, high carb;50;2;6;2;390;18;Kurang Sehat
Dalgona coffe;High sugar, high carb;306;9,25;7,05;33,86;0;52,77;Kurang Sehat
Lousiana rub wings;High protein, high fat;171;15;12;0;0;1;Cukup Sehat
Outback steackhouse Ribeye;High protein, high fat;540;58;35;0;0;0;Kurang Sehat
Bonchon Spicy wings;High calorie, high protein, high fat;800;56;54;5;0;18;Kurang Sehat
Talas bogor kukus;High carb;120;1,5;0,3;0;11;28,2;Sehat
Maya Sardines Chili sause;Moderate nutrients;180;12,08;2,11;0;0,2;2,6;Sehat
Cempedak;High carb, high fiber;116;3;0,4;0;25;28,6;Sehat
Good Day rock caramello;High sugar, high sodium, high fat;40;1;4,5;13;100;14;Kurang Sehat
PRONAS Sarden saus pedas;High fat, high sodium;80;8;4;0;120;2;Cukup Sehat
Terung belanda;Moderate nutrients;52;2,1;1,1;0;0;8,6;Sehat
Chitato;Moderate nutrients;110;2;6;0;0;11;Sehat
Rambutan;High carb;69;0,9;0,1;0;16;18,1;Sehat
Beras ketan putih tumbuk;High calorie, high carb;361;7,4;0,8;0;3;78,4;Sehat
Sawo Manila;High fiber;92;0,5;1,1;0;26;22,4;Sehat
Kerupuk cumi goreng;High sodium, high fat, high carb;444;6,9;14,6;0;837;71,3;Kurang Sehat
Gemblong;High carb;274;1,7;5,4;0;0;55,5;Sehat
Pop mie rasa baso;High sodium, high carb;140;8;15;5;720;47;Kurang Sehat
Soto madura;High fat;60;3,5;4,5;0;0;1,3;Sehat
Saos tomat;High sodium, high carb;110;2;0,4;0;890;24,5;Kurang Sehat
Sariroti sandwich coklat;Moderate nutrients;150;3;6;4;125;21;Cukup Sehat
Bentul;High carb;98;1,6;0,7;0;0;20,9;Sehat
Sagu manis;High carb;287;0,5;3,9;0;34;62,4;Sehat
Lemonia Biscuit;High sugar, high fat;45;1;5;5;50;13;Kurang Sehat
Koro loke;High fiber;33;2,7;0,2;0;2;7,9;Sehat
Daun pakis;High protein;39;4,5;0,4;0;20;6,9;Sehat
Kangkung tondano;Moderate nutrients;43;1,8;0,2;0;30;8,4;Sehat
Mie telur cap 3 ayam;High carb;230;8;0;2;0;49;Sehat
Pala;High carb;42;0,3;0,2;0;0;10,9;Sehat
Tepung Gaplek;High carb;345;2,4;0,4;0;6;83,1;Sehat
Tempe kedelai murni mentah;High protein, high carb;201;20,8;8,8;0;9;13,5;Sehat
Flax seeds;High calorie, high fat, high protein;534;18,29;42,16;0;0;28,88;Kurang Sehat
Starbucks hot caramel macchiato (nonfat milk);High carb;200;11;1,5;0;0;36;Sehat
Bango Bumbu Kuliner Nusantara Tongseng;High sodium;15;0;1,5;4;800;5;Kurang Sehat
Bobengka;High carb;225;5,3;2,6;0;0;45,2;Sehat
Markisa squash;High carb;104;1,2;0,5;0;40;23,7;Sehat
Pizza hut deluxe cheeses;Moderate nutrients;150;6;6;2;0;17;Sehat
Mi ABC cup baso sapi;Moderate nutrients;290;7;13;3;0;34;Cukup Sehat
Nasi merah;High carb;149;2,8;0,4;0;5;32,5;Sehat
Bagea kenari manis;High calorie, high fat, high carb;523;3,2;28,2;0;74;64,2;Kurang Sehat
Teh Javana;High sugar, high carb;0;0;0;28;75;28;Kurang Sehat
Biokul greek yogurt;High fat;160;6;12;2;0;6;Kurang Sehat
Frisian flag sweet delight;High sugar;150;6;6;18;75;20;Kurang Sehat
Ahh Nabati Richeese;Moderate nutrients;10;0;1;1;15;3;Sehat
Indomie mi kuah;High carb;300;7;11;3;0;43;Cukup Sehat
Saladstop bold bulgogi;High protein, high sodium, high fat;411,8;17,7;25,7;13,3;695,4;30,6;Kurang Sehat
Kue sus;High fat, high carb;221;7,5;10,2;0;0;24,8;Kurang Sehat
Dodol galamai;High carb;348;0,4;3,8;0;38;76,1;Sehat
Ketoprak;Moderate nutrients;153;7,9;7,7;0;0;13;Cukup Sehat
Kue koa;High carb;340;4,8;0,4;0;0;79,3;Sehat
Keju mozzarella;High protein, high fat;280;27,5;17,1;0;0;3,1;Cukup Sehat
Espresso;Low calorie;3;0,04;0,05;0;0;0,49;Sehat
Permen frozz lime mint;Low calorie;0;0;0;0;0;1;Sehat
Eskrim magnum white almond;High sugar, high fat, high carb;230;3;14;13;0;23;Kurang Sehat
Pop mie mie goreng pedas;High fat, high carb;370;6;17;4;0;49;Kurang Sehat
Berilla Collezione Lasagne all'uovo;High carb;370;11;4;0;30;71;Sehat
Roma Sandwich;High sugar, high fat;140;2;7;6;80;17;Cukup Sehat
Taoge kacang tunggak;High protein;40;5;0,2;0;2;5,8;Sehat
Kacang negara;High sodium, high calorie, high fiber;480;18,4;19,1;0;1010;58,5;Kurang Sehat
Piattos Sambal Geprek Flavor;High sodium, high fat;45;1;5;1;100;13;Kurang Sehat
Japilus;High calorie, high fat, high carb;500;1,2;25,1;0;0;67,3;Kurang Sehat
Ribeye;High protein;217;19,8;15,21;0;0;0,11;Cukup Sehat
Ikan Bader;High protein, high fat;193;19;13;0;118;0;Cukup Sehat
Nutrijell pudding suus rasa vanila;High sugar;40;0;0,5;5;30;8;Cukup Sehat
Mie sedaap kari spesial;High carb;340;8;13;2;0;48;Cukup Sehat
Burger Carl's Jr california classic double cheeseburger;High calorie, high fat;600;23;39;11;0;41;Kurang Sehat
The coffe bean & tea leaf matcha ice blended drink;High carb, high sugar;410;16;9;59;0;67;Kurang Sehat
Permen mentos spearmint;Low calorie;5;0;0;0;0;1;Sehat
Teh Kotak Rasa Apel;High sugar, high carb, high sodium;100;0;0;20;50;24;Kurang Sehat
Santan;High fat;122;2;10;0;9;7,6;Cukup Sehat
Mi basah;Moderate nutrients;88;0,6;3,3;0;63;14;Sehat
Sagu forno;High carb;291;0,5;4;0;40;63,4;Sehat
Gado-gado;High carb;137;6,1;3,2;0;0;21;Sehat
Coklat Hershey's milk chocolate;Moderate nutrients;22;0,3;1,3;2,6;0;2,8;Sehat
Mie aceh rebus;High sodium, high carb;113;3;3,2;0;191;18,1;Cukup Sehat
Jagung gerontol;High carb;156;2,7;1,3;0;0;33,3;Sehat
Puff pastry sheet;High fat, high carb;200;3;13;1;0;18;Kurang Sehat
Melinjo emping tebal goreng asin;High calorie, high carb;431;11,1;16,2;0;0;63;Kurang Sehat
Wortel;Moderate nutrients;36;1;0,6;0;70;7,9;Sehat
Yogurt greek yummy original;High protein;140;7;4;8;0;17;Sehat
Sayur sop;Low calorie;27;1,3;2;0;0;1;Sehat
Pulut;High carb, high sodium;216;2,6;3,1;0;100;44,4;Cukup Sehat
Andaliman;High fiber;99;4,6;1;0;0;18;Sehat
Nutrisari jus mangga;High sugar, high carb;60;0;1;12;0;13;Kurang Sehat
Ikan Batung;High protein;115;14,5;4,6;0;42;4,2;Sehat
Bihun;High carb;348;4,7;0,1;0;12;82,1;Sehat
Kelapa setengah tua;High fat, high carb;180;4;15;0;4;10;Cukup Sehat
Dancow susu bubuk fortigro full cream;Moderate nutrients;120;6;7;0;90;10;Sehat
Pork loin;High protein;198;19,74;12,58;0;0;0;Cukup Sehat
Cake tape;High carb, high fat;323;4,9;11,5;0;0;50,1;Kurang Sehat
Supermi rasa Kaldu Ayam;High sodium, high carb;100;6;11;2;920;45;Kurang Sehat
Jawawut;High calorie, high carb, high fiber;364;9,7;3,5;0;7;73,4;Sehat
Ikan selar kuning cue;High protein;138;27;3,3;0;0;0;Sehat
Sate Ayam;High protein, high sodium;225;19,54;14,82;0;355;4,87;Cukup Sehat
Ademsari chingku herbal tea;High sugar, high carb;90;0;0;21;0;21;Kurang Sehat
Batatas gembili;High carb, high fiber;76;1,1;0,9;0;10;16;Sehat
Daun pakis loggiho;Moderate nutrients;54;2,2;3,6;0;70;3,1;Cukup Sehat
Supermi rasa steak ayam;High sodium, high carb;140;7;15;6;590;54;Kurang Sehat
Koro wedus;High protein, high carb;338;22,2;1,5;0;43;61;Sehat
Red Hot Cajun wings;High protein;142;15;8;0;0;1;Cukup Sehat
Tony roma's the original baby back ribs;High calorie, high protein, high sugar;563;30;25;50;0;55;Kurang Sehat
Kerupuk kemplang (ikan) mentah;High sodium, high carb;325;1,8;0,4;0;1123;78,5;Kurang Sehat
Rempeyek kacang uci;High calorie, high fat, high carb;497;17;27,6;0;0;50,8;Kurang Sehat
Ampas kacang hijau;High carb;96;3,7;0,6;0;0;19,1;Sehat
Pronas chicken luncheon;Moderate nutrients;80;4;6;0;0;3;Cukup Sehat
Susu kerbau;High fat;160;6,3;12;0;82;7,1;Cukup Sehat
Soto sukaraja;Moderate nutrients;80;3,2;3,5;0;0;9;Sehat
Chitato keripik kentang rasa sapi panggang;High sodium, high fat;110;2;6;0;115;11;Cukup Sehat
Manan samin;High calorie, high carb;379;3,4;18,1;0;0;50,6;Kurang Sehat
Pizza hut meat lover's;High calorie, high fat;470;19;28;1;0;36;Kurang Sehat
Bika ambon;High carb;199;2,1;1,5;0;0;44,4;Sehat
Keju Lemnos Fetta Cheese;High fat;83;5,4;6,9;0,9;0;0,4;Cukup Sehat
Krupuk Bocah Tua;High sodium, high carb;340;1;0;0;1570;84;Kurang Sehat
Nissin wafer coklat;High sugar, high fat;50;2;6;8;70;20;Cukup Sehat
Richeese Nabati;Moderate nutrients;40;0;1,5;0;30;6;Sehat
KFC extra crispy sayap;High fat;170;10;13;0;0;5;Cukup Sehat
Kacang uci;High protein, high carb, high fiber;358;23,4;2,4;0;13;60,6;Sehat
Kecimpring singkong goreng;High calorie, high fat, high carb;464;1,2;18,6;0;0;73;Kurang Sehat
Sariroti Sandwich krim keju;High sodium, high fat;130;3;6;3;260;17;Cukup Sehat
Susu My protein impact whey protein;High protein;105;20;1,8;1,6;0;3;Sehat
Ubi jalar kuning;High carb, high fiber;119;0,5;0,4;0;3;25,1;Sehat
Amparan;High carb, high fat;191;1,3;5,5;0;0;34;Kurang Sehat
Kluwek;High calorie, high fat;310;10;24;0;0;13,5;Kurang Sehat
Keripik Qtela singkong;High fat, high carb;100;0;5;1;0;14;Cukup Sehat
Milo Activ-Go;High sugar, high carb;15;2;2;8;35;13;Cukup Sehat
Indomie rasa ayam bawang;High sodium, high carb;100;7;11;3;1330;43;Kurang Sehat
Ketela pohon kukus;High carb;153;1,2;0,3;0;2;36,4;Sehat
Indomie rasa ayam special;High sodium, high carb;90;7;10;3;1180;44;Kurang Sehat
Caotina;High sugar, high fat;114;1;7,4;10;20;10,4;Kurang Sehat
